event,window,faults,total,fault_rate_pct,ref_majority,ref_maj_count,tally_final
0x0015,256,0,999744,0.0000,0,256,256
0x0015,512,0,999488,0.0000,0,512,512
0x0015,1024,0,998976,0.0000,0,1024,1024
0x0015,2048,0,997952,0.0000,0,2048,2048
0x0016,8,713,999992,0.0713,44,8,8
0x0016,16,90,999984,0.0090,44,16,16
0x0016,32,0,999968,0.0000,44,32,32
0x0016,48,0,999952,0.0000,44,46,48
0x0016,64,0,999936,0.0000,44,61,64
0x0016,128,0,999872,0.0000,44,125,128
0x0016,256,0,999744,0.0000,44,250,256
0x0016,512,0,999488,0.0000,44,500,512
0x0016,1024,0,998976,0.0000,44,1003,1024
0x0016,2048,0,997952,0.0000,44,2000,2048
0x0017,8,0,999992,0.0000,0,8,8
0x0017,16,0,999984,0.0000,0,16,16
0x0017,32,0,999968,0.0000,0,32,32
0x0017,48,0,999952,0.0000,0,48,48
0x0017,64,0,999936,0.0000,0,64,64
0x0017,128,0,999872,0.0000,0,128,128
0x0017,256,0,999744,0.0000,0,256,256
0x0017,512,0,999488,0.0000,0,512,512
0x0017,1024,0,998976,0.0000,0,1024,1024
0x0017,2048,0,997952,0.0000,0,2048,2048
0x0018,8,0,999992,0.0000,0,8,8
0x0018,16,0,999984,0.0000,0,16,16
0x0018,32,0,999968,0.0000,0,32,32
0x0018,48,0,999952,0.0000,0,48,48
0x0018,64,0,999936,0.0000,0,64,64
0x0018,128,0,999872,0.0000,0,128,128
0x0018,256,0,999744,0.0000,0,256,256
0x0018,512,0,999488,0.0000,0,512,512
0x0018,1024,0,998976,0.0000,0,1024,1024
0x0018,2048,0,997952,0.0000,0,2048,2048
0x0019,8,0,999992,0.0000,0,8,8
0x0019,16,0,999984,0.0000,0,16,16
0x0019,32,0,999968,0.0000,0,32,32
0x0019,48,0,999952,0.0000,0,48,48
0x0019,64,0,999936,0.0000,0,64,64
0x0019,128,0,999872,0.0000,0,128,128
0x0019,256,0,999744,0.0000,0,256,256
0x0019,512,0,999488,0.0000,0,512,512
0x0019,1024,0,998976,0.0000,0,1024,1024
0x0019,2048,0,997952,0.0000,0,2048,2048
0x001a,8,0,999992,0.0000,0,8,8
0x001a,16,0,999984,0.0000,0,16,16
0x001a,32,0,999968,0.0000,0,32,32
0x001a,48,0,999952,0.0000,0,48,48
0x001a,64,0,999936,0.0000,0,64,64
0x001a,128,0,999872,0.0000,0,128,128
0x001a,256,0,999744,0.0000,0,256,256
0x001a,512,0,999488,0.0000,0,512,512
0x001a,1024,0,998976,0.0000,0,1024,1024
0x001a,2048,0,997952,0.0000,0,2048,2048
0x001b,8,0,999992,0.0000,0,8,8
0x001b,16,0,999984,0.0000,0,16,16
0x001b,32,0,999968,0.0000,0,32,32
0x001b,48,0,999952,0.0000,0,48,48
0x001b,64,0,999936,0.0000,0,64,64
0x001b,128,0,999872,0.0000,0,128,128
0x001b,256,0,999744,0.0000,0,256,256
0x001b,512,0,999488,0.0000,0,510,512
0x001b,1024,0,998976,0.0000,0,1021,1024
0x001b,2048,0,997952,0.0000,0,2039,2048
0x001c,8,0,999992,0.0000,1,6,8
0x001c,16,0,999984,0.0000,1,14,16
0x001c,32,0,999968,0.0000,1,30,32
0x001c,48,0,999952,0.0000,1,46,48
0x001c,64,0,999936,0.0000,1,62,64
0x001c,128,0,999872,0.0000,1,126,128
0x001c,256,0,999744,0.0000,1,254,256
0x001c,512,0,999488,0.0000,1,509,512
0x001c,1024,0,998976,0.0000,1,1021,1024
0x001c,2048,0,997952,0.0000,1,2044,2048
0x001d,8,86,999992,0.0086,26,8,8
0x001d,16,0,999984,0.0000,26,16,16
0x001d,32,0,999968,0.0000,26,32,32
0x001d,48,0,999952,0.0000,26,48,48
0x001d,64,0,999936,0.0000,26,64,64
0x001d,128,0,999872,0.0000,26,128,128
0x001d,256,0,999744,0.0000,26,253,256
0x001d,512,0,999488,0.0000,26,503,512
0x001d,1024,0,998976,0.0000,26,999,1024
0x001d,2048,0,997952,0.0000,26,1998,2048
0x001e,8,41,999992,0.0041,3,8,8
0x001e,16,0,999984,0.0000,3,16,16
0x001e,32,0,999968,0.0000,3,32,32
0x001e,48,0,999952,0.0000,3,45,48
0x001e,64,0,999936,0.0000,3,61,64
0x001e,128,0,999872,0.0000,3,125,128
0x001e,256,0,999744,0.0000,3,250,256
0x001e,512,0,999488,0.0000,3,500,512
0x001e,1024,0,998976,0.0000,3,1003,1024
0x001e,2048,0,997952,0.0000,3,2003,2048
0x001f,8,0,999992,0.0000,0,8,8
0x001f,16,0,999984,0.0000,0,16,16
0x001f,32,0,999968,0.0000,0,32,32
0x001f,48,0,999952,0.0000,0,48,48
0x001f,64,0,999936,0.0000,0,64,64
0x001f,128,0,999872,0.0000,0,128,128
0x001f,256,0,999744,0.0000,0,256,256
0x001f,512,0,999488,0.0000,0,512,512
0x001f,1024,0,998976,0.0000,0,1024,1024
0x001f,2048,0,997952,0.0000,0,2048,2048
0x0020,8,0,999992,0.0000,3,8,8
0x0020,16,0,999984,0.0000,3,16,16
0x0020,32,0,999968,0.0000,3,32,32
0x0020,48,0,999952,0.0000,3,48,48
0x0020,64,0,999936,0.0000,3,64,64
0x0020,128,0,999872,0.0000,3,128,128
0x0020,256,0,999744,0.0000,3,256,256
0x0020,512,0,999488,0.0000,3,512,512
0x0020,1024,0,998976,0.0000,3,1024,1024
0x0020,2048,0,997952,0.0000,3,2048,2048
0x0021,8,0,999992,0.0000,0,8,8
0x0021,16,0,999984,0.0000,0,16,16
0x0021,32,0,999968,0.0000,0,32,32
0x0021,48,0,999952,0.0000,0,48,48
0x0021,64,0,999936,0.0000,0,64,64
0x0021,128,0,999872,0.0000,0,128,128
0x0021,256,0,999744,0.0000,0,256,256
0x0021,512,0,999488,0.0000,0,512,512
0x0021,1024,0,998976,0.0000,0,1024,1024
0x0021,2048,0,997952,0.0000,0,2048,2048
0x0022,8,0,999992,0.0000,0,8,8
0x0022,16,0,999984,0.0000,0,16,16
0x0022,32,0,999968,0.0000,0,32,32
0x0022,48,0,999952,0.0000,0,48,48
0x0022,64,0,999936,0.0000,0,64,64
0x0022,128,0,999872,0.0000,0,128,128
0x0022,256,0,999744,0.0000,0,256,256
0x0022,512,0,999488,0.0000,0,512,512
0x0022,1024,0,998976,0.0000,0,1024,1024
0x0022,2048,0,997952,0.0000,0,2048,2048
0x0023,8,0,999992,0.0000,0,8,8
0x0023,16,0,999984,0.0000,0,16,16
0x0023,32,0,999968,0.0000,0,32,32
0x0023,48,0,999952,0.0000,0,48,48
0x0023,64,0,999936,0.0000,0,64,64
0x0023,128,0,999872,0.0000,0,128,128
0x0023,256,0,999744,0.0000,0,256,256
0x0023,512,0,999488,0.0000,0,512,512
0x0023,1024,0,998976,0.0000,0,1024,1024
0x0023,2048,0,997952,0.0000,0,2048,2048
0x0024,8,0,999992,0.0000,0,8,8
0x0024,16,0,999984,0.0000,0,16,16
0x0024,32,0,999968,0.0000,0,32,32
0x0024,48,0,999952,0.0000,0,48,48
0x0024,64,0,999936,0.0000,0,64,64
0x0024,128,0,999872,0.0000,0,128,128
0x0024,256,0,999744,0.0000,0,256,256
0x0024,512,0,999488,0.0000,0,512,512
0x0024,1024,0,998976,0.0000,0,1024,1024
0x0024,2048,0,997952,0.0000,0,2048,2048
0x0025,8,0,999992,0.0000,0,8,8
0x0025,16,0,999984,0.0000,0,16,16
0x0025,32,0,999968,0.0000,0,32,32
0x0025,48,0,999952,0.0000,0,48,48
0x0025,64,0,999936,0.0000,0,64,64
0x0025,128,0,999872,0.0000,0,128,128
0x0025,256,0,999744,0.0000,0,256,256
0x0025,512,0,999488,0.0000,0,512,512
0x0025,1024,0,998976,0.0000,0,1024,1024
0x0025,2048,0,997952,0.0000,0,2048,2048
0x0026,8,0,999992,0.0000,1,8,8
0x0026,16,0,999984,0.0000,1,16,16
0x0026,32,0,999968,0.0000,1,32,32
0x0026,48,0,999952,0.0000,1,48,48
0x0026,64,0,999936,0.0000,1,64,64
0x0026,128,0,999872,0.0000,1,128,128
0x0026,256,0,999744,0.0000,1,256,256
0x0026,512,0,999488,0.0000,1,512,512
0x0026,1024,0,998976,0.0000,1,1024,1024
0x0026,2048,0,997952,0.0000,1,2048,2048
0x0027,8,793504,999992,79.3510,411,5,0
0x0027,16,844797,999984,84.4811,411,10,0
0x0027,32,909374,999968,90.9403,411,19,0
0x0027,48,943009,999952,94.3054,411,27,0
0x0027,64,964226,999936,96.4288,411,33,0
0x0027,128,993503,999872,99.3630,411,62,0
0x0027,256,999044,999744,99.9300,411,128,0
0x0027,512,999052,999488,99.9564,411,265,0
0x0027,1024,998976,998976,100.0000,411,479,0
0x0027,2048,997952,997952,100.0000,418,721,0
0x0028,8,850638,999992,85.0645,445,5,4
0x0028,16,928887,999984,92.8902,445,8,7
0x0028,32,989140,999968,98.9172,445,14,8
0x0028,48,997552,999952,99.7600,445,25,8
0x0028,64,998240,999936,99.8304,445,32,8
0x0028,128,998696,999872,99.8824,445,61,8
0x0028,256,999744,999744,100.0000,445,125,8
0x0028,512,999488,999488,100.0000,445,240,8
0x0028,1024,998976,998976,100.0000,445,469,8
0x0028,2048,997952,997952,100.0000,445,941,8
0x0029,8,0,999992,0.0000,0,8,8
0x0029,16,0,999984,0.0000,0,16,16
0x0029,32,0,999968,0.0000,0,32,32
0x0029,48,0,999952,0.0000,0,48,48
0x0029,64,0,999936,0.0000,0,64,64
0x0029,128,0,999872,0.0000,0,128,128
0x0029,256,0,999744,0.0000,0,256,256
0x0029,512,0,999488,0.0000,0,512,512
0x0029,1024,0,998976,0.0000,0,1023,1024
0x0029,2048,0,997952,0.0000,0,2047,2048
0x002a,8,0,999992,0.0000,0,8,8
0x002a,16,0,999984,0.0000,0,16,16
0x002a,32,0,999968,0.0000,0,32,32
0x002a,48,0,999952,0.0000,0,48,48
0x002a,64,0,999936,0.0000,0,64,64
0x002a,128,0,999872,0.0000,0,128,128
0x002a,256,0,999744,0.0000,0,256,256
0x002a,512,0,999488,0.0000,0,512,512
0x002a,1024,0,998976,0.0000,0,1024,1024
0x002a,2048,0,997952,0.0000,0,2048,2048
