encoding,cycles,instret,0x0001,0x0002,0x0003,0x0004,0x0005,0x0006,0x0007,0x0008,0x0009,0x000a,0x000b,0x000c,0x000d,0x000e,0x000f,0x0010,0x0011,0x0012,0x0013,0x0014,0x0015,0x0016,0x0017,0x0018,0x0019,0x001a,0x001b,0x001c,0x001d,0x001e,0x001f,0x0020,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0029,0x002a
0x0210a0b3,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,6,0,47,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x0210b0b3,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,6,0,47,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x0210c0b3,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,6,0,47,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00210133,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x40210133,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02210133,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02211133,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02215133,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02216133,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02217133,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00001073,448,32,48,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,39,0,0,0,0,0,1,22,3,0,3,0,0,0,0,0,1,0,0
0x00002073,448,32,48,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,39,0,0,0,0,0,1,22,3,0,3,0,0,0,0,0,1,0,0
0xc0002073,448,32,48,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,39,0,0,0,0,0,1,22,3,0,3,0,0,0,0,0,1,0,0
0x00000003,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,47,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
0x00001003,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,47,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
0x00002003,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,47,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
0x00003003,449,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,47,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
0x00000023,449,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,7,0,51,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
0x00001023,447,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,7,0,51,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
0x00002023,450,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,7,0,51,0,0,0,0,0,1,25,4,0,3,0,0,0,0,0,1,0,0
