encoding,opcode,mnemonic,recognised,attributed_to,vendor_only,broad_mnemonic,broad_ext,active,n_events_deviating,lax_decode_of,verdict,recognised_zfh_incl,recognised_zfh_excl,zfh_only,reserved_rm,reserved_rm_zfh,arch_fault
0x98007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9a00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x9a000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9a00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x9a00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x9a005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9a006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9a007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9a007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9c00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x9c000027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0x9c00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x9c00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x9c005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9c006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9c007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9c007027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0x9e00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x9e000027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0x9e00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x9e00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x9e005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9e006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9e007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x9e007027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
